cluster,category,precision
42,the_mainstream_media,0.17857142857142858
48,literature,0.1565217391304348
43,autos_and_vehicles,0.13953488372093023
49,travel,0.21818181818181817
24,travel,0.22727272727272727
25,travel,0.27586206896551724
26,health,0.23423423423423423
27,citizen_journalism,0.5785123966942148
20,health,0.2730627306273063
21,autos_and_vehicles,0.16
22,food_and_drink,0.32857142857142857
23,conferences_and_other_events,0.22826086956521738
46,food_and_drink,0.375
47,travel,0.3103448275862069
44,food_and_drink,0.2631578947368421
45,food_and_drink,0.3076923076923077
28,food_and_drink,0.36538461538461536
29,autos_and_vehicles,0.44047619047619047
40,food_and_drink,0.17391304347826086
41,school_and_education,0.30303030303030304
1,travel,0.12663755458515283
0,citizen_journalism,0.6306306306306306
3,conferences_and_other_events,0.14893617021276595
2,food_and_drink,0.13953488372093023
5,travel,1.0
4,travel,0.2967032967032967
7,citizen_journalism,0.3965183752417795
6,default_category,0.23529411764705882
9,travel,0.2222222222222222
8,school_and_education,0.23404255319148937
39,travel,0.2
38,food_and_drink,0.375
11,autos_and_vehicles,0.13135593220338984
10,citizen_journalism,0.22580645161290322
13,food_and_drink,0.17757009345794392
12,citizen_journalism,0.3
15,citizen_journalism,0.17333333333333334
14,travel,0.20754716981132076
17,school_and_education,0.3137254901960784
16,travel,0.2631578947368421
19,travel,0.17567567567567569
18,conferences_and_other_events,0.31868131868131866
31,travel,0.1724137931034483
30,autos_and_vehicles,0.18181818181818182
37,travel,0.3
36,travel,0.20833333333333334
35,travel,0.24528301886792453
34,default_category,0.2653061224489796
33,food_and_drink,0.36363636363636365
32,health,0.5217391304347826
